 3.627e+00 7.3089e-01 7.3089e-01 [ 5.1697e-01 1.1476e-01 1.3209e-03 5.1454e-02 4.5429e-02 9.5107e-04 ] 2.6911e-01
 3.740e+00 7.2913e-01 7.2913e-01 [ 5.0975e-01 1.1799e-01 1.3560e-03 5.2756e-02 4.6308e-02 9.6554e-04 ] 2.7087e-01
 3.853e+00 7.2748e-01 7.2748e-01 [ 5.0264e-01 1.2123e-01 1.3913e-03 5.4058e-02 4.7179e-02 9.8005e-04 ] 2.7252e-01
 3.967e+00 7.2595e-01 7.2595e-01 [ 4.9563e-01 1.2449e-01 1.4268e-03 5.5361e-02 4.8042e-02 9.9461e-04 ] 2.7405e-01
 4.080e+00 7.2452e-01 7.2452e-01 [ 4.8871e-01 1.2778e-01 1.4624e-03 5.6666e-02 4.8899e-02 1.0092e-03 ] 2.7548e-01
 4.193e+00 7.2321e-01 7.2321e-01 [ 4.8187e-01 1.3109e-01 1.4982e-03 5.7973e-02 4.9752e-02 1.0239e-03 ] 2.7679e-01
 4.307e+00 7.2199e-01 7.2199e-01 [ 4.7511e-01 1.3442e-01 1.5343e-03 5.9284e-02 5.0600e-02 1.0387e-03 ] 2.7801e-01
 4.420e+00 7.2087e-01 7.2087e-01 [ 4.6842e-01 1.3778e-01 1.5706e-03 6.0598e-02 5.1446e-02 1.0535e-03 ] 2.7913e-01
 4.533e+00 7.1983e-01 7.1983e-01 [ 4.6180e-01 1.4115e-01 1.6072e-03 6.1917e-02 5.2290e-02 1.0685e-03 ] 2.8017e-01
 4.647e+00 7.1888e-01 7.1888e-01 [ 4.5522e-01 1.4455e-01 1.6440e-03 6.3241e-02 5.3132e-02 1.0835e-03 ] 2.8112e-01
 4.760e+00 7.1800e-01 7.1800e-01 [ 4.4870e-01 1.4798e-01 1.6811e-03 6.4571e-02 5.3974e-02 1.0986e-03 ] 2.8200e-01
 4.873e+00 7.1719e-01 7.1719e-01 [ 4.4221e-01 1.5142e-01 1.7185e-03 6.5906e-02 5.4816e-02 1.1139e-03 ] 2.8281e-01
 4.987e+00 7.1644e-01 7.1644e-01 [ 4.3576e-01 1.5489e-01 1.7562e-03 6.7247e-02 5.5658e-02 1.1292e-03 ] 2.8356e-01
 5.100e+00 7.1576e-01 7.1576e-01 [ 4.2935e-01 1.5837e-01 1.7943e-03 6.8595e-02 5.6502e-02 1.1447e-03 ] 2.8424e-01
 5.213e+00 7.1512e-01 7.1512e-01 [ 4.2295e-01 1.6188e-01 1.8326e-03 6.9950e-02 5.7347e-02 1.1603e-03 ] 2.8488e-01
 5.327e+00 7.1453e-01 7.1453e-01 [ 4.1658e-01 1.6540e-01 1.8713e-03 7.1312e-02 5.8195e-02 1.1760e-03 ] 2.8547e-01
 5.440e+00 7.1399e-01 7.1399e-01 [ 4.1023e-01 1.6893e-01 1.9103e-03 7.2682e-02 5.9045e-02 1.1918e-03 ] 2.8601e-01
 5.553e+00 7.1349e-01 7.1349e-01 [ 4.0389e-01 1.7248e-01 1.9496e-03 7.4059e-02 5.9898e-02 1.2078e-03 ] 2.8651e-01
 5.667e+00 7.1302e-01 7.1302e-01 [ 3.9756e-01 1.7604e-01 1.9893e-03 7.5444e-02 6.0754e-02 1.2239e-03 ] 2.8698e-01
 5.780e+00 7.1258e-01 7.1258e-01 [ 3.9125e-01 1.7961e-01 2.0293e-03 7.6837e-02 6.1614e-02 1.2401e-03 ] 2.8742e-01
 5.893e+00 7.1218e-01 7.1218e-01 [ 3.8494e-01 1.8319e-01 2.0697e-03 7.8238e-02 6.2479e-02 1.2565e-03 ] 2.8782e-01
 6.007e+00 7.1179e-01 7.1179e-01 [ 3.7864e-01 1.8678e-01 2.1104e-03 7.9648e-02 6.3347e-02 1.2730e-03 ] 2.8821e-01
 6.120e+00 7.1143e-01 7.1143e-01 [ 3.7234e-01 1.9037e-01 2.1515e-03 8.1067e-02 6.4221e-02 1.2897e-03 ] 2.8857e-01
 6.233e+00 7.1109e-01 7.1109e-01 [ 3.6604e-01 1.9395e-01 2.1930e-03 8.2496e-02 6.5099e-02 1.3065e-03 ] 2.8891e-01
 6.347e+00 7.1077e-01 7.1077e-01 [ 3.5975e-01 1.9754e-01 2.2348e-03 8.3933e-02 6.5983e-02 1.3234e-03 ] 2.8923e-01
 6.460e+00 7.1046e-01 7.1046e-01 [ 3.5347e-01 2.0112e-01 2.2770e-03 8.5380e-02 6.6872e-02 1.3405e-03 ] 2.8954e-01
 6.573e+00 7.1017e-01 7.1017e-01 [ 3.4719e-01 2.0470e-01 2.3196e-03 8.6837e-02 6.7768e-02 1.3578e-03 ] 2.8983e-01
 6.687e+00 7.0989e-01 7.0989e-01 [ 3.4091e-01 2.0827e-01 2.3626e-03 8.8303e-02 6.8669e-02 1.3752e-03 ] 2.9011e-01
 6.800e+00 7.0962e-01 7.0962e-01 [ 3.3464e-01 2.1182e-01 2.4059e-03 8.9780e-02 6.9577e-02 1.3927e-03 ] 2.9038e-01
 6.913e+00 7.0936e-01 7.0936e-01 [ 3.2838e-01 2.1536e-01 2.4496e-03 9.1268e-02 7.0491e-02 1.4104e-03 ] 2.9064e-01
 7.027e+00 7.0910e-01 7.0910e-01 [ 3.2212e-01 2.1888e-01 2.4937e-03 9.2766e-02 7.1412e-02 1.4283e-03 ] 2.9090e-01
 7.140e+00 7.0886e-01 7.0886e-01 [ 3.1587e-01 2.2238e-01 2.5382e-03 9.4275e-02 7.2341e-02 1.4464e-03 ] 2.9114e-01
 7.253e+00 7.0861e-01 7.0861e-01 [ 3.0964e-01 2.2586e-01 2.5831e-03 9.5795e-02 7.3276e-02 1.4646e-03 ] 2.9139e-01
 7.367e+00 7.0838e-01 7.0838e-01 [ 3.0341e-01 2.2931e-01 2.6283e-03 9.7327e-02 7.4220e-02 1.4829e-03 ] 2.9162e-01
 7.480e+00 7.0814e-01 7.0814e-01 [ 2.9720e-01 2.3272e-01 2.6740e-03 9.8870e-02 7.5170e-02 1.5015e-03 ] 2.9186e-01
 7.593e+00 7.0791e-01 7.0791e-01 [ 2.9101e-01 2.3611e-01 2.7200e-03 1.0043e-01 7.6129e-02 1.5202e-03 ] 2.9209e-01
 7.707e+00 7.0768e-01 7.0768e-01 [ 2.8484e-01 2.3945e-01 2.7664e-03 1.0199e-01 7.7096e-02 1.5391e-03 ] 2.9232e-01
 7.820e+00 7.0746e-01 7.0746e-01 [ 2.7868e-01 2.4276e-01 2.8132e-03 1.0357e-01 7.8071e-02 1.5582e-03 ] 2.9254e-01
 7.933e+00 7.0723e-01 7.0723e-01 [ 2.7255e-01 2.4602e-01 2.8604e-03 1.0516e-01 7.9055e-02 1.5774e-03 ] 2.9277e-01
 8.047e+00 7.0701e-01 7.0701e-01 [ 2.6645e-01 2.4924e-01 2.9080e-03 1.0677e-01 8.0047e-02 1.5968e-03 ] 2.9299e-01
 8.160e+00 7.0678e-01 7.0678e-01 [ 2.6037e-01 2.5240e-01 2.9559e-03 1.0839e-01 8.1048e-02 1.6165e-03 ] 2.9322e-01
 8.273e+00 7.0656e-01 7.0656e-01 [ 2.5433e-01 2.5551e-01 3.0042e-03 1.1002e-01 8.2059e-02 1.6363e-03 ] 2.9344e-01
 8.387e+00 7.0634e-01 7.0634e-01 [ 2.4832e-01 2.5857e-01 3.0529e-03 1.1166e-01 8.3078e-02 1.6562e-03 ] 2.9366e-01
 8.500e+00 7.0611e-01 7.0611e-01 [ 2.4234e-01 2.6156e-01 3.1020e-03 1.1332e-01 8.4107e-02 1.6764e-03 ] 2.9389e-01
 8.613e+00 7.0589e-01 7.0589e-01 [ 2.3641e-01 2.6449e-01 3.1514e-03 1.1500e-01 8.5145e-02 1.6968e-03 ] 2.9411e-01
 8.727e+00 7.0566e-01 7.0566e-01 [ 2.3051e-01 2.6735e-01 3.2012e-03 1.1668e-01 8.6193e-02 1.7174e-03 ] 2.9434e-01
 8.840e+00 7.0543e-01 7.0543e-01 [ 2.2466e-01 2.7014e-01 3.2513e-03 1.1838e-01 8.7251e-02 1.7382e-03 ] 2.9457e-01
 8.953e+00 7.0520e-01 7.0520e-01 [ 2.1886e-01 2.7286e-01 3.3018e-03 1.2010e-01 8.8319e-02 1.7591e-03 ] 2.9480e-01
 9.067e+00 7.0497e-01 7.0497e-01 [ 2.1311e-01 2.7550e-01 3.3526e-03 1.2183e-01 8.9397e-02 1.7803e-03 ] 2.9503e-01
 9.180e+00 7.0474e-01 7.0474e-01 [ 2.0741e-01 2.7806e-01 3.4037e-03 1.2358e-01 9.0485e-02 1.8017e-03 ] 2.9526e-01
 9.293e+00 7.0450e-01 7.0450e-01 [ 2.0177e-01 2.8054e-01 3.4551e-03 1.2534e-01 9.1584e-02 1.8233e-03 ] 2.9550e-01
 9.407e+00 7.0427e-01 7.0427e-01 [ 1.9619e-01 2.8292e-01 3.5069e-03 1.2711e-01 9.2693e-02 1.8451e-03 ] 2.9573e-01
 9.520e+00 7.0403e-01 7.0403e-01 [ 1.9066e-01 2.8522e-01 3.5589e-03 1.2890e-01 9.3814e-02 1.8672e-03 ] 2.9597e-01
 9.633e+00 7.0379e-01 7.0379e-01 [ 1.8520e-01 2.8743e-01 3.6112e-03 1.3071e-01 9.4945e-02 1.8895e-03 ] 2.9621e-01
 9.747e+00 7.0354e-01 7.0354e-01 [ 1.7981e-01 2.8954e-01 3.6637e-03 1.3253e-01 9.6088e-02 1.9120e-03 ] 2.9646e-01
 9.860e+00 7.0330e-01 7.0330e-01 [ 1.7449e-01 2.9155e-01 3.7165e-03 1.3437e-01 9.7242e-02 1.9347e-03 ] 2.9670e-01
 9.973e+00 7.0305e-01 7.0305e-01 [ 1.6923e-01 2.9346e-01 3.7694e-03 1.3622e-01 9.8407e-02 1.9576e-03 ] 2.9695e-01
 1.009e+01 7.0280e-01 7.0280e-01 [ 1.6405e-01 2.9527e-01 3.8226e-03 1.3809e-01 9.9584e-02 1.9808e-03 ] 2.9720e-01
 1.020e+01 7.0255e-01 7.0255e-01 [ 1.5895e-01 2.9697e-01 3.8760e-03 1.3997e-01 1.0077e-01 2.0043e-03 ] 2.9745e-01
 1.031e+01 7.0229e-01 7.0229e-01 [ 1.5392e-01 2.9857e-01 3.9295e-03 1.4187e-01 1.0197e-01 2.0280e-03 ] 2.9771e-01
 1.043e+01 7.0203e-01 7.0203e-01 [ 1.4898e-01 3.0005e-01 3.9831e-03 1.4378e-01 1.0319e-01 2.0519e-03 ] 2.9797e-01
 1.054e+01 7.0177e-01 7.0177e-01 [ 1.4411e-01 3.0142e-01 4.0368e-03 1.4571e-01 1.0441e-01 2.0761e-03 ] 2.9823e-01
 1.065e+01 7.0151e-01 7.0151e-01 [ 1.3933e-01 3.0267e-01 4.0906e-03 1.4766e-01 1.0565e-01 2.1005e-03 ] 2.9849e-01
 1.077e+01 7.0124e-01 7.0124e-01 [ 1.3464e-01 3.0381e-01 4.1445e-03 1.4962e-01 1.0690e-01 2.1253e-03 ] 2.9876e-01
 1.088e+01 7.0097e-01 7.0097e-01 [ 1.3003e-01 3.0483e-01 4.1984e-03 1.5160e-01 1.0817e-01 2.1503e-03 ] 2.9903e-01
 1.099e+01 7.0070e-01 7.0070e-01 [ 1.2551e-01 3.0573e-01 4.2522e-03 1.5359e-01 1.0944e-01 2.1755e-03 ] 2.9930e-01
 1.111e+01 7.0042e-01 7.0042e-01 [ 1.2108e-01 3.0650e-01 4.3060e-03 1.5559e-01 1.1073e-01 2.2011e-03 ] 2.9958e-01
 1.122e+01 7.0014e-01 7.0014e-01 [ 1.1674e-01 3.0716e-01 4.3597e-03 1.5762e-01 1.1204e-01 2.2269e-03 ] 2.9986e-01
 1.133e+01 6.9986e-01 6.9986e-01 [ 1.1250e-01 3.0769e-01 4.4133e-03 1.5965e-01 1.1336e-01 2.2530e-03 ] 3.0014e-01
 1.145e+01 6.9957e-01 6.9957e-01 [ 1.0834e-01 3.0810e-01 4.4667e-03 1.6170e-01 1.1469e-01 2.2795e-03 ] 3.0043e-01
 1.156e+01 6.9929e-01 6.9929e-01 [ 1.0428e-01 3.0838e-01 4.5199e-03 1.6376e-01 1.1604e-01 2.3062e-03 ] 3.0071e-01
 1.167e+01 6.9899e-01 6.9899e-01 [ 1.0032e-01 3.0853e-01 4.5729e-03 1.6584e-01 1.1740e-01 2.3333e-03 ] 3.0101e-01
 1.179e+01 6.9870e-01 6.9870e-01 [ 9.6449e-02 3.0856e-01 4.6255e-03 1.6793e-01 1.1877e-01 2.3606e-03 ] 3.0130e-01
 1.190e+01 6.9840e-01 6.9840e-01 [ 9.2675e-02 3.0847e-01 4.6778e-03 1.7003e-01 1.2016e-01 2.3883e-03 ] 3.0160e-01
 1.201e+01 6.9810e-01 6.9810e-01 [ 8.8997e-02 3.0824e-01 4.7298e-03 1.7214e-01 1.2157e-01 2.4163e-03 ] 3.0190e-01
 1.213e+01 6.9780e-01 6.9780e-01 [ 8.5416e-02 3.0789e-01 4.7813e-03 1.7427e-01 1.2299e-01 2.4447e-03 ] 3.0220e-01
 1.224e+01 6.9749e-01 6.9749e-01 [ 8.1931e-02 3.0741e-01 4.8323e-03 1.7641e-01 1.2443e-01 2.4734e-03 ] 3.0251e-01
 1.235e+01 6.9718e-01 6.9718e-01 [ 7.8542e-02 3.0681e-01 4.8828e-03 1.7855e-01 1.2589e-01 2.5025e-03 ] 3.0282e-01
 1.247e+01 6.9686e-01 6.9686e-01 [ 7.5249e-02 3.0608e-01 4.9327e-03 1.8071e-01 1.2736e-01 2.5319e-03 ] 3.0314e-01
 1.258e+01 6.9654e-01 6.9654e-01 [ 7.2051e-02 3.0522e-01 4.9819e-03 1.8287e-01 1.2885e-01 2.5618e-03 ] 3.0346e-01
 1.269e+01 6.9622e-01 6.9622e-01 [ 6.8949e-02 3.0424e-01 5.0304e-03 1.8505e-01 1.3036e-01 2.5920e-03 ] 3.0378e-01
 1.281e+01 6.9589e-01 6.9589e-01 [ 6.5941e-02 3.0314e-01 5.0782e-03 1.8723e-01 1.3188e-01 2.6225e-03 ] 3.0411e-01
 1.292e+01 6.9556e-01 6.9556e-01 [ 6.3027e-02 3.0192e-01 5.1252e-03 1.8942e-01 1.3342e-01 2.6535e-03 ] 3.0444e-01
 1.303e+01 6.9523e-01 6.9523e-01 [ 6.0206e-02 3.0058e-01 5.1712e-03 1.9161e-01 1.3498e-01 2.6849e-03 ] 3.0477e-01
 1.315e+01 6.9489e-01 6.9489e-01 [ 5.7477e-02 2.9911e-01 5.2163e-03 1.9381e-01 1.3656e-01 2.7168e-03 ] 3.0511e-01
 1.326e+01 6.9455e-01 6.9455e-01 [ 5.4840e-02 2.9753e-01 5.2605e-03 1.9601e-01 1.3816e-01 2.7490e-03 ] 3.0545e-01
 1.337e+01 6.9421e-01 6.9421e-01 [ 5.2292e-02 2.9584e-01 5.3035e-03 1.9821e-01 1.3978e-01 2.7817e-03 ] 3.0579e-01
 1.349e+01 6.9386e-01 6.9386e-01 [ 4.9833e-02 2.9403e-01 5.3454e-03 2.0042e-01 1.4142e-01 2.8149e-03 ] 3.0614e-01
 1.360e+01 6.9350e-01 6.9350e-01 [ 4.7461e-02 2.9211e-01 5.3861e-03 2.0262e-01 1.4308e-01 2.8485e-03 ] 3.0650e-01
 1.371e+01 6.9315e-01 6.9315e-01 [ 4.5176e-02 2.9008e-01 5.4255e-03 2.0482e-01 1.4476e-01 2.8826e-03 ] 3.0685e-01
 1.383e+01 6.9279e-01 6.9279e-01 [ 4.2975e-02 2.8794e-01 5.4636e-03 2.0703e-01 1.4646e-01 2.9172e-03 ] 3.0721e-01
 1.394e+01 6.9242e-01 6.9242e-01 [ 4.0857e-02 2.8570e-01 5.5003e-03 2.0922e-01 1.4819e-01 2.9522e-03 ] 3.0758e-01
 1.405e+01 6.9205e-01 6.9205e-01 [ 3.8820e-02 2.8336e-01 5.5356e-03 2.1142e-01 1.4993e-01 2.9878e-03 ] 3.0795e-01
 1.417e+01 6.9168e-01 6.9168e-01 [ 3.6864e-02 2.8091e-01 5.5693e-03 2.1360e-01 1.5170e-01 3.0240e-03 ] 3.0832e-01
 1.428e+01 6.9130e-01 6.9130e-01 [ 3.4986e-02 2.7837e-01 5.6013e-03 2.1578e-01 1.5350e-01 3.0606e-03 ] 3.0870e-01
 1.439e+01 6.9091e-01 6.9091e-01 [ 3.3183e-02 2.7574e-01 5.6318e-03 2.1794e-01 1.5532e-01 3.0978e-03 ] 3.0909e-01
 1.451e+01 6.9053e-01 6.9053e-01 [ 3.1456e-02 2.7301e-01 5.6604e-03 2.2010e-01 1.5716e-01 3.1356e-03 ] 3.0947e-01
 1.462e+01 6.9013e-01 6.9013e-01 [ 2.9801e-02 2.7020e-01 5.6873e-03 2.2224e-01 1.5903e-01 3.1740e-03 ] 3.0987e-01
 1.473e+01 6.8973e-01 6.8973e-01 [ 2.8217e-02 2.6730e-01 5.7123e-03 2.2437e-01 1.6093e-01 3.2129e-03 ] 3.1027e-01
 1.485e+01 6.8933e-01 6.8933e-01 [ 2.6702e-02 2.6432e-01 5.7353e-03 2.2647e-01 1.6285e-01 3.2525e-03 ] 3.1067e-01
 1.496e+01 6.8892e-01 6.8892e-01 [ 2.5254e-02 2.6126e-01 5.7564e-03 2.2856e-01 1.6480e-01 3.2927e-03 ] 3.1108e-01
 1.507e+01 6.8851e-01 6.8851e-01 [ 2.3871e-02 2.5812e-01 5.7754e-03 2.3063e-01 1.6678e-01 3.3335e-03 ] 3.1149e-01
 1.519e+01 6.8809e-01 6.8809e-01 [ 2.2551e-02 2.5492e-01 5.7922e-03 2.3267e-01 1.6878e-01 3.3750e-03 ] 3.1191e-01
 1.530e+01 6.8767e-01 6.8767e-01 [ 2.1292e-02 2.5164e-01 5.8069e-03 2.3469e-01 1.7082e-01 3.4171e-03 ] 3.1233e-01
 1.541e+01 6.8724e-01 6.8724e-01 [ 2.0093e-02 2.4830e-01 5.8193e-03 2.3668e-01 1.7288e-01 3.4600e-03 ] 3.1276e-01
 1.553e+01 6.8680e-01 6.8680e-01 [ 1.8951e-02 2.4489e-01 5.8294e-03 2.3864e-01 1.7498e-01 3.5035e-03 ] 3.1320e-01
 1.564e+01 6.8636e-01 6.8636e-01 [ 1.7863e-02 2.4143e-01 5.8372e-03 2.4057e-01 1.7711e-01 3.5477e-03 ] 3.1364e-01
 1.575e+01 6.8592e-01 6.8592e-01 [ 1.6830e-02 2.3791e-01 5.8425e-03 2.4247e-01 1.7927e-01 3.5927e-03 ] 3.1408e-01
 1.587e+01 6.8546e-01 6.8546e-01 [ 1.5847e-02 2.3434e-01 5.8454e-03 2.4432e-01 1.8147e-01 3.6384e-03 ] 3.1454e-01
