f400/1	../H400.txt	3.00	1.30	4.00e-03	32.89	87.85	80.87	72.84	62.68
f400/2	../H400.txt	3.00	1.30	5.00e-03	22.22	74.04	66.77	58.59	48.69
f400/3	../H400.txt	3.00	1.30	6.00e-03	18.33	65.26	58.37	50.73	41.55
f400/4	../H400.txt	3.00	1.30	8.00e-03	14.94	56.15	49.58	42.13	33.07
f400/5	../H400.txt	3.00	1.30	1.00e-02	13.53	50.50	43.81	36.23	27.13
f400/6	../H400.txt	3.00	1.30	1.50e-02	12.23	41.53	34.85	27.69	19.99
f400/7	../H400.txt	3.00	1.30	2.00e-02	11.67	36.52	30.34	23.99	17.49
f400/8	../H400.txt	3.00	1.30	3.00e-02	11.08	31.70	26.30	20.88	15.46
f400/9	../H400.txt	3.00	1.30	4.00e-02	10.77	29.45	24.46	19.47	14.54
f400/10	../H400.txt	3.00	1.30	5.00e-02	10.58	28.13	23.39	18.64	14.00
